月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,11,6,0.4,2.6,0,0,88.88888889,0,0
1,11,7,0.3,2.7,0,2.777777778,88.88888889,0,0
1,11,8,1.1,2.7,405.5555556,38.88888889,88.88888889,7.7,-56.6
1,11,9,3.2,2.7,625,72.22222222,97.22222222,17.4,-46.3
1,11,10,5.2,2.8,747.2222222,86.11111111,100,25.4,-34.1
1,11,11,5,2.7,311.1111111,200,75,31,-19.6
1,11,12,6.6,2.7,683.3333333,136.1111111,97.22222222,33.4,-3.4
1,11,13,6,2.4,297.2222222,211.1111111,77.77777778,32.4,13.2
1,11,14,6,2.3,97.22222222,166.6666667,58.33333333,28,28.5
1,11,15,6.5,2.3,405.5555556,119.4444444,88.88888889,20.9,41.6
1,11,16,6.4,2.2,141.6666667,66.66666667,69.44444444,11.9,52.7
1,11,17,5.6,2.4,41.66666667,11.11111111,69.44444444,1.5,62
1,11,18,4.9,2.3,0,0,72.22222222,0,0
1,11,19,4.4,2.4,0,0,72.22222222,0,0
1,11,20,4.3,2.3,0,0,77.77777778,0,0
1,11,21,4.2,2.3,0,0,80.55555556,0,0
1,11,22,4.1,2.3,0,0,83.33333333,0,0
1,11,23,3.9,2.3,0,0,83.33333333,0,0
1,11,24,3.9,2.3,0,0,86.11111111,0,0
1,12,1,3.9,2.3,0,0,86.11111111,0,0
1,12,2,3.6,2.4,0,0,88.88888889,0,0
1,12,3,3.4,2.3,0,0,91.66666667,0,0
1,12,4,3.1,2.3,0,0,94.44444444,0,0
1,12,5,2.3,2.5,0,0,94.44444444,0,0
1,12,6,1.4,2.5,0,0,94.44444444,0,0
1,12,7,0.9,2.5,0,2.777777778,97.22222222,0,0
1,12,8,1.1,2.6,450,38.88888889,97.22222222,7.8,-56.8
1,12,9,3,2.8,669.4444444,66.66666667,100,17.5,-46.5
1,12,10,4.9,3,791.6666667,75,100,25.5,-34.2
1,12,11,6.7,2.9,838.8888889,83.33333333,102.7777778,31.1,-19.7
1,12,12,8.1,2.7,850,88.88888889,108.3333333,33.6,-3.5
1,12,13,7.9,2.8,727.7777778,119.4444444,100,32.6,13.1
1,12,14,7.5,2.6,211.1111111,183.3333333,72.22222222,28.2,28.4
1,12,15,7.3,2.5,475,111.1111111,91.66666667,21.1,41.7
1,12,16,6.8,2.4,452.7777778,61.11111111,102.7777778,12,52.7
1,12,17,5.7,2.7,183.3333333,16.66666667,97.22222222,1.6,62.1
1,12,18,4.8,2.8,0,0,97.22222222,0,0
1,12,19,3.7,3.2,0,0,91.66666667,0,0
1,12,20,3.3,3.1,0,0,88.88888889,0,0
1,12,21,3.4,3,0,0,88.88888889,0,0
1,12,22,3.7,2.9,0,0,91.66666667,0,0
1,12,23,2.8,3.1,0,0,86.11111111,0,0
1,12,24,2.3,3.1,0,0,88.88888889,0,0
1,13,1,2,3.1,0,0,86.11111111,0,0
1,13,2,1.9,3.2,0,0,83.33333333,0,0
1,13,3,1.3,3.3,0,0,83.33333333,0,0
1,13,4,0.9,3.2,0,0,80.55555556,0,0
1,13,5,0.6,3.2,0,0,80.55555556,0,0
1,13,6,0.3,3.2,0,0,77.77777778,0,0
1,13,7,0.1,3.1,0,2.777777778,80.55555556,0,0
1,13,8,0.3,3.1,363.8888889,41.66666667,77.77777778,7.8,-57
1,13,9,2.5,3.3,675,66.66666667,97.22222222,17.5,-46.7
1,13,10,5.3,3.4,808.3333333,72.22222222,102.7777778,25.6,-34.4
1,13,11,6.5,3.4,852.7777778,80.55555556,102.7777778,31.2,-19.9
1,13,12,7.4,2.9,744.4444444,119.4444444,100,33.8,-3.6
1,13,13,7.6,2.5,852.7777778,86.11111111,111.1111111,32.8,13
1,13,14,6.8,2.5,527.7777778,147.2222222,94.44444444,28.4,28.4
1,13,15,5.4,2.6,738.8888889,72.22222222,105.5555556,21.3,41.7
1,13,16,5.3,2.6,536.1111111,55.55555556,108.3333333,12.2,52.8
1,13,17,4.2,2.6,183.3333333,16.66666667,105.5555556,1.8,62.2
1,13,18,3.6,2.5,0,0,105.5555556,0,0
1,13,19,2.8,2.5,0,0,102.7777778,0,0
1,13,20,2.1,2.7,0,0,100,0,0
1,13,21,1.7,2.6,0,0,100,0,0
1,13,22,1.1,2.6,0,0,97.22222222,0,0
1,13,23,0.8,2.7,0,0,97.22222222,0,0
1,13,24,0.8,2.5,0,0,100,0,0
1,14,1,0.4,2.5,0,0,97.22222222,0,0
1,14,2,0.6,2.6,0,0,97.22222222,0,0
1,14,3,0.1,2.6,0,0,97.22222222,0,0
1,14,4,0.8,2.5,0,0,97.22222222,0,0
1,14,5,1,2.5,0,0,97.22222222,0,0
1,14,6,0.6,2.5,0,0,97.22222222,0,0
1,14,7,0.2,2.4,0,2.777777778,97.22222222,0,0
1,14,8,0.3,2.4,461.1111111,38.88888889,97.22222222,7.9,-57.1
1,14,9,2,2.5,672.2222222,66.66666667,97.22222222,17.6,-46.9
1,14,10,3.7,2.7,675,102.7777778,94.44444444,25.7,-34.6
1,14,11,4.4,2.8,608.3333333,144.4444444,88.88888889,31.4,-20.1
1,14,12,4.8,3,344.4444444,216.6666667,75,33.9,-3.7
1,14,13,4.5,3.1,341.6666667,208.3333333,75,32.9,13
1,14,14,5.2,2.4,269.4444444,186.1111111,75,28.6,28.4
1,14,15,4.9,2.3,622.2222222,91.66666667,100,21.5,41.7
1,14,16,4.6,2.4,541.6666667,55.55555556,102.7777778,12.4,52.8
1,14,17,3.4,2.6,291.6666667,16.66666667,97.22222222,2,62.2
1,14,18,2.9,2.5,0,0,97.22222222,0,0
1,14,19,2.1,2.5,0,0,94.44444444,0,0
1,14,20,1.4,2.5,0,0,91.66666667,0,0
1,14,21,1,2.5,0,0,88.88888889,0,0
1,14,22,0.3,2.6,0,0,86.11111111,0,0
1,14,23,0.1,2.6,0,0,86.11111111,0,0
1,14,24,-0.3,2.7,0,0,83.33333333,0,0
1,15,1,-0.3,2.7,0,0,83.33333333,0,0
1,15,2,-0.6,2.7,0,0,80.55555556,0,0
1,15,3,-0.6,2.7,0,0,80.55555556,0,0
1,15,4,-0.4,2.7,0,0,77.77777778,0,0
1,15,5,-0.2,2.7,0,0,77.77777778,0,0
1,15,6,-0.4,2.6,0,0,77.77777778,0,0
1,15,7,-0.8,2.6,0,2.777777778,75,0,0
1,15,8,-0.2,2.5,197.2222222,44.44444444,75,7.9,-57.3
1,15,9,2.3,2.6,611.1111111,75,97.22222222,17.7,-47.1
1,15,10,4.5,2.9,425,147.2222222,80.55555556,25.8,-34.8
1,15,11,5.2,2.9,441.6666667,183.3333333,83.33333333,31.5,-20.2
1,15,12,6.8,2.9,450,197.2222222,83.33333333,34.1,-3.9
1,15,13,6.6,2.7,86.11111111,197.2222222,55.55555556,33.1,12.9
1,15,14,6.3,2.8,530.5555556,147.2222222,88.88888889,28.8,28.4
1,15,15,6.3,3.1,419.4444444,122.2222222,83.33333333,21.7,41.8
1,15,16,6.2,3,63.88888889,61.11111111,50,12.6,52.9
1,15,17,5.5,3.2,41.66666667,11.11111111,50,2.2,62.3
1,15,18,4.5,3.3,0,0,50,0,0
1,15,19,3.9,3.3,0,0,52.77777778,0,0
1,15,20,3.8,3.3,0,0,52.77777778,0,0
1,15,21,3.5,3.4,0,0,55.55555556,0,0
1,15,22,3.4,3.4,0,0,55.55555556,0,0
1,15,23,3,3.4,0,0,58.33333333,0,0
1,15,24,2.7,3.4,0,0,58.33333333,0,0
1,16,1,2.3,3.4,0,0,61.11111111,0,0
1,16,2,2,3.4,0,0,61.11111111,0,0
1,16,3,1.6,3.3,0,0,63.88888889,0,0
1,16,4,1.1,3.3,0,0,63.88888889,0,0
1,16,5,0.9,3.2,0,0,66.66666667,0,0
1,16,6,0.3,3.2,0,0,66.66666667,0,0
1,16,7,0.4,3.1,0,2.777777778,69.44444444,0,0
1,16,8,0.3,3.1,211.1111111,44.44444444,69.44444444,8,-57.5
1,16,9,2.6,3.3,541.6666667,86.11111111,86.11111111,17.8,-47.3
1,16,10,5.3,3.4,722.2222222,91.66666667,94.44444444,25.9,-35
1,16,11,6.7,3.4,775,102.7777778,94.44444444,31.7,-20.4
1,16,12,8.8,3.1,444.4444444,200,86.11111111,34.3,-4
1,16,13,8,2.6,119.4444444,208.3333333,63.88888889,33.3,12.9
1,16,14,8.6,2.7,86.11111111,169.4444444,58.33333333,29,28.4
1,16,15,8.1,2.6,83.33333333,122.2222222,58.33333333,21.9,41.8
1,16,16,6.8,3.5,133.3333333,72.22222222,66.66666667,12.8,53
1,16,17,6.3,3.4,94.44444444,13.88888889,63.88888889,2.4,62.4
1,16,18,5.6,3.6,0,0,61.11111111,0,0
1,16,19,4.7,3.8,0,0,61.11111111,0,0
1,16,20,4.5,3.9,0,0,55.55555556,0,0
1,16,21,3.8,3.8,0,0,55.55555556,0,0
1,16,22,3.7,3.8,0,0,52.77777778,0,0
1,16,23,3.8,3.8,0,0,52.77777778,0,0
1,16,24,3.5,3.8,0,0,52.77777778,0,0
1,17,1,3.1,3.8,0,0,50,0,0
1,17,2,2.9,3.6,0,0,50,0,0
1,17,3,2.5,3.6,0,0,47.22222222,0,0
1,17,4,2.5,3.6,0,0,44.44444444,0,0
1,17,5,3,3.6,0,0,44.44444444,0,0
1,17,6,2.5,3.8,0,0,41.66666667,0,0
1,17,7,2.5,3.8,0,0,38.88888889,0,0
1,17,8,2.6,3.9,33.33333333,30.55555556,38.88888889,8.1,-57.7
1,17,9,2.6,3.8,30.55555556,75,38.88888889,17.9,-47.4
1,17,10,2.5,3.7,30.55555556,111.1111111,38.88888889,26,-35.1
1,17,11,2.4,3.7,30.55555556,138.8888889,38.88888889,31.8,-20.5
1,17,12,2.9,3.6,27.77777778,152.7777778,38.88888889,34.5,-4.1
1,17,13,3.9,3.6,47.22222222,172.2222222,41.66666667,33.5,12.8
1,17,14,4.9,3.6,75,166.6666667,50,29.2,28.4
1,17,15,5.1,3.6,172.2222222,138.8888889,61.11111111,22.1,41.9
1,17,16,6,3.4,425,69.44444444,88.88888889,13,53.1
1,17,17,5.5,3.4,22.22222222,11.11111111,83.33333333,2.5,62.5
1,17,18,4.9,3.6,0,0,80.55555556,0,0
1,17,19,4.5,3.4,0,0,77.77777778,0,0
1,17,20,3.2,3.4,0,0,72.22222222,0,0
1,17,21,2.5,3.3,0,0,69.44444444,0,0
1,17,22,2,3.2,0,0,66.66666667,0,0
1,17,23,1,3.2,0,0,63.88888889,0,0
1,17,24,0.8,3.1,0,0,61.11111111,0,0
1,18,1,0.1,3.1,0,0,58.33333333,0,0
